scale,phase_id,id,x_mm,y_mm,z_mm
0.65,0,LAT_V001,0.869557,0.613094,-1.193623
0.65,1,LAT_V001,5.869557,0.613094,-1.193623
0.65,2,LAT_V001,-4.130443,0.613094,-1.193623
0.65,3,LAT_V001,0.869557,5.613094,-1.193623
0.65,4,LAT_V001,0.869557,-4.386906,-1.193623
0.65,5,LAT_V001,0.869557,0.613094,3.806377
0.65,6,LAT_V001,0.869557,0.613094,-6.193623
0.65,7,LAT_V001,5.869557,5.613094,3.806377
0.65,8,LAT_V001,-4.130443,-4.386906,-6.193623
0.75,0,LAT_V001,1.003335,0.707416,-1.377257
0.75,1,LAT_V001,6.003335,0.707416,-1.377257
0.75,2,LAT_V001,-3.996665,0.707416,-1.377257
0.75,3,LAT_V001,1.003335,5.707416,-1.377257
0.75,3,LAT_V002,-27.280936,-22.576855,-14.000000
0.75,4,LAT_V001,1.003335,-4.292584,-1.377257
0.75,5,LAT_V001,1.003335,0.707416,3.622743
0.75,6,LAT_V001,1.003335,0.707416,-6.377257
0.75,7,LAT_V001,6.003335,5.707416,3.622743
0.75,7,LAT_V002,-22.280936,-22.576855,-14.000000
0.75,8,LAT_V001,-3.996665,-4.292584,-6.377257
0.85,0,LAT_V001,1.137113,0.801738,-1.560892
0.85,0,LAT_V002,-27.147158,-27.482533,-16.800000
0.85,1,LAT_V001,6.137113,0.801738,-1.560892
0.85,1,LAT_V002,-22.147158,-27.482533,-16.800000
0.85,2,LAT_V001,-3.862887,0.801738,-1.560892
0.85,2,LAT_V002,-32.147158,-27.482533,-16.800000
0.85,3,LAT_V001,1.137113,5.801738,-1.560892
0.85,3,LAT_V002,-27.147158,-22.482533,-1.560892
0.85,4,LAT_V001,1.137113,-4.198262,-1.560892
0.85,5,LAT_V001,1.137113,0.801738,3.439108
0.85,5,LAT_V002,1.137113,29.086009,-24.845163
0.85,6,LAT_V001,1.137113,0.801738,-6.560892
0.85,6,LAT_V002,-27.147158,-27.482533,-6.560892
0.85,7,LAT_V001,6.137113,5.801738,3.439108
0.85,7,LAT_V002,-22.147158,-22.482533,-18.800000
0.85,8,LAT_V001,-3.862887,-4.198262,-6.560892
0.95,0,LAT_V001,1.270891,0.896060,-1.744526
0.95,0,LAT_V002,-27.013380,-27.388211,-1.744526
0.95,1,LAT_V001,6.270891,0.896060,-1.744526
