scale,volume_cc,equivalent_diameter_mm,phase_id,phase_dx_mm,phase_dy_mm,phase_dz_mm,vertex_count,min_spacing_mm,min_extra_clearance_mm,fit_tests,end_vertices,status
0.65,170.164,68.753,0,0.0,0.0,0.0,1,NaN,15.075890,51,0,NO_LATTICE
0.65,170.164,68.753,1,5.0,0.0,0.0,1,NaN,14.006058,51,0,NO_LATTICE
0.65,170.164,68.753,2,-5.0,0.0,0.0,1,NaN,14.348404,51,0,NO_LATTICE
0.65,170.164,68.753,3,0.0,5.0,0.0,1,NaN,10.192635,51,0,NO_LATTICE
0.65,170.164,68.753,4,0.0,-5.0,0.0,1,NaN,10.982803,51,0,NO_LATTICE
0.65,170.164,68.753,5,0.0,0.0,5.0,1,NaN,13.842720,51,0,NO_LATTICE
0.65,170.164,68.753,6,0.0,0.0,-5.0,1,NaN,12.231644,57,0,NO_LATTICE
0.65,170.164,68.753,7,5.0,5.0,5.0,1,NaN,8.524902,51,0,NO_LATTICE
0.65,170.164,68.753,8,-5.0,-5.0,-5.0,1,NaN,9.045654,57,0,NO_LATTICE
0.75,261.403,79.330,0,0.0,0.0,0.0,1,NaN,19.317894,129,0,NO_LATTICE
0.75,261.403,79.330,1,5.0,0.0,0.0,1,NaN,18.372040,129,0,NO_LATTICE
0.75,261.403,79.330,2,-5.0,0.0,0.0,1,NaN,18.701096,129,0,NO_LATTICE
0.75,261.403,79.330,3,0.0,5.0,0.0,2,41.944411,1.499596,117,1,PASS
0.75,261.403,79.330,4,0.0,-5.0,0.0,1,NaN,15.359802,67,0,NO_LATTICE
0.75,261.403,79.330,5,0.0,0.0,5.0,1,NaN,18.256798,133,0,NO_LATTICE
0.75,261.403,79.330,6,0.0,0.0,-5.0,1,NaN,16.700668,141,0,NO_LATTICE
0.75,261.403,79.330,7,5.0,5.0,5.0,2,43.709965,1.193733,116,1,PASS
0.75,261.403,79.330,8,-5.0,-5.0,-5.0,1,NaN,13.507957,76,0,NO_LATTICE
0.85,380.526,89.907,0,0.0,0.0,0.0,2,42.804561,1.433739,158,1,PASS
0.85,380.526,89.907,1,5.0,0.0,0.0,2,42.804561,0.049118,158,1,PASS
0.85,380.526,89.907,2,-5.0,0.0,0.0,2,42.804561,1.183067,265,1,PASS
0.85,380.526,89.907,3,0.0,5.0,0.0,2,40.000000,1.081444,139,0,PASS
0.85,380.526,89.907,4,0.0,-5.0,0.0,1,NaN,19.736984,173,0,NO_LATTICE
0.85,380.526,89.907,5,0.0,0.0,5.0,2,40.000000,0.071136,97,0,PASS
0.85,380.526,89.907,6,0.0,0.0,-5.0,2,40.000000,2.274673,135,0,PASS
0.85,380.526,89.907,7,5.0,5.0,5.0,2,45.766559,1.283844,150,1,PASS
0.85,380.526,89.907,8,-5.0,-5.0,-5.0,1,NaN,17.968735,274,0,NO_LATTICE
0.95,531.249,100.485,0,0.0,0.0,0.0,2,40.000000,1.158844,372,0,PASS
0.95,531.249,100.485,1,5.0,0.0,0.0,4,40.000000,0.162781,113,0,PASS
0.95,531.249,100.485,2,-5.0,0.0,0.0,3,40.000000,0.420517,186,0,PASS
0.95,531.249,100.485,3,0.0,5.0,0.0,3,40.000000,0.360443,328,1,PASS
0.95,531.249,100.485,4,0.0,-5.0,0.0,2,43.804314,0.647247,407,1,PASS
0.95,531.249,100.485,5,0.0,0.0,5.0,2,40.000000,4.838852,282,0,PASS
0.95,531.249,100.485,6,0.0,0.0,-5.0,4,40.000000,2.073517,209,0,PASS
0.95,531.249,100.485,7,5.0,5.0,5.0,4,40.000000,1.340034,230,0,PASS
0.95,531.249,100.485,8,-5.0,-5.0,-5.0,3,40.000000,2.462059,172,0,PASS
1.05,717.291,111.062,0,0.0,0.0,0.0,7,40.000000,0.184380,121,0,PASS
1.05,717.291,111.062,1,5.0,0.0,0.0,6,40.000000,1.311386,127,0,PASS
1.05,717.291,111.062,2,-5.0,0.0,0.0,7,40.000000,0.358940,121,0,PASS
1.05,717.291,111.062,3,0.0,5.0,0.0,8,40.000000,0.847710,122,0,PASS
1.05,717.291,111.062,4,0.0,-5.0,0.0,8,40.000000,0.092735,127,0,PASS
1.05,717.291,111.062,5,0.0,0.0,5.0,6,40.000000,0.967720,210,0,PASS
1.05,717.291,111.062,6,0.0,0.0,-5.0,4,40.000000,7.058792,253,0,PASS
1.05,717.291,111.062,7,5.0,5.0,5.0,8,40.000000,0.918625,116,0,PASS
1.05,717.291,111.062,8,-5.0,-5.0,-5.0,6,40.000000,2.164551,210,0,PASS
1.15,942.369,121.639,0,0.0,0.0,0.0,12,40.000000,0.450050,123,0,PASS
1.15,942.369,121.639,1,5.0,0.0,0.0,12,40.000000,0.464607,114,0,PASS
1.15,942.369,121.639,2,-5.0,0.0,0.0,11,40.000000,1.526047,123,0,PASS
1.15,942.369,121.639,3,0.0,5.0,0.0,12,40.000000,0.533752,183,0,PASS
1.15,942.369,121.639,4,0.0,-5.0,0.0,11,40.000000,2.007637,210,0,PASS
1.15,942.369,121.639,5,0.0,0.0,5.0,13,40.000000,0.765450,104,0,PASS
1.15,942.369,121.639,6,0.0,0.0,-5.0,12,40.000000,0.742401,113,0,PASS
1.15,942.369,121.639,7,5.0,5.0,5.0,12,40.000000,1.812332,168,0,PASS
1.15,942.369,121.639,8,-5.0,-5.0,-5.0,10,40.000000,1.378052,201,0,PASS
1.25,1210.201,132.217,0,0.0,0.0,0.0,16,40.000000,2.101517,448,0,PASS
1.25,1210.201,132.217,1,5.0,0.0,0.0,16,40.000000,3.168297,315,0,PASS
1.25,1210.201,132.217,2,-5.0,0.0,0.0,16,40.000000,0.658226,406,0,PASS
1.25,1210.201,132.217,3,0.0,5.0,0.0,16,40.000000,0.018692,314,0,PASS
1.25,1210.201,132.217,4,0.0,-5.0,0.0,16,40.000000,2.053452,294,0,PASS
1.25,1210.201,132.217,5,0.0,0.0,5.0,16,40.000000,1.249695,442,0,PASS
1.25,1210.201,132.217,6,0.0,0.0,-5.0,17,40.000000,0.114822,441,0,PASS
1.25,1210.201,132.217,7,5.0,5.0,5.0,14,40.000000,3.328514,213,0,PASS
1.25,1210.201,132.217,8,-5.0,-5.0,-5.0,15,40.000000,2.646255,329,0,PASS
1.35,1524.505,142.794,0,0.0,0.0,0.0,17,40.000000,4.649971,516,0,PASS
1.35,1524.505,142.794,1,5.0,0.0,0.0,17,40.000000,3.629921,662,0,PASS
1.35,1524.505,142.794,2,-5.0,0.0,0.0,17,40.000000,2.885284,516,0,PASS
1.35,1524.505,142.794,3,0.0,5.0,0.0,17,40.000000,0.236069,516,0,PASS
1.35,1524.505,142.794,4,0.0,-5.0,0.0,18,40.000000,0.259384,488,0,PASS
1.35,1524.505,142.794,5,0.0,0.0,5.0,17,40.000000,1.946838,516,0,PASS
1.35,1524.505,142.794,6,0.0,0.0,-5.0,18,40.000000,3.163612,345,0,PASS
1.35,1524.505,142.794,7,5.0,5.0,5.0,16,40.000000,1.565048,704,0,PASS
1.35,1524.505,142.794,8,-5.0,-5.0,-5.0,20,40.000000,0.852470,323,0,PASS
1.45,1888.998,153.371,0,0.0,0.0,0.0,22,40.000000,0.041061,489,0,PASS
1.45,1888.998,153.371,1,5.0,0.0,0.0,20,40.000000,0.656982,529,0,PASS
1.45,1888.998,153.371,2,-5.0,0.0,0.0,21,40.000000,2.999062,489,0,PASS
1.45,1888.998,153.371,3,0.0,5.0,0.0,20,40.000000,2.670570,525,0,PASS
1.45,1888.998,153.371,4,0.0,-5.0,0.0,21,40.000000,1.524010,493,0,PASS
1.45,1888.998,153.371,5,0.0,0.0,5.0,20,40.000000,1.433990,495,0,PASS
1.45,1888.998,153.371,6,0.0,0.0,-5.0,22,40.000000,0.808594,459,0,PASS
1.45,1888.998,153.371,7,5.0,5.0,5.0,19,40.000000,0.584335,494,0,PASS
1.45,1888.998,153.371,8,-5.0,-5.0,-5.0,22,40.000000,3.698685,453,0,PASS
1.60,2537.976,169.237,0,0.0,0.0,0.0,32,40.000000,0.008812,422,0,PASS
1.60,2537.976,169.237,1,5.0,0.0,0.0,32,40.000000,0.923492,423,0,PASS
1.60,2537.976,169.237,2,-5.0,0.0,0.0,29,40.000000,0.720818,517,0,PASS
1.60,2537.976,169.237,3,0.0,5.0,0.0,32,40.000000,0.271408,410,0,PASS
1.60,2537.976,169.237,4,0.0,-5.0,0.0,30,40.000000,0.116318,537,0,PASS
1.60,2537.976,169.237,5,0.0,0.0,5.0,34,40.000000,0.010574,423,0,PASS
1.60,2537.976,169.237,6,0.0,0.0,-5.0,32,40.000000,0.780739,604,0,PASS
1.60,2537.976,169.237,7,5.0,5.0,5.0,33,40.000000,0.659134,423,0,PASS
1.60,2537.976,169.237,8,-5.0,-5.0,-5.0,28,40.000000,2.033798,1041,0,PASS
