id,x_mm,y_mm,z_mm,distance_from_origin_mm
LAT_V001,0.000000,0.000000,0.000000,0.000000
LAT_V002,0.000000,-28.284271,-28.284271,40.000000
LAT_V003,-28.284271,0.000000,-28.284271,40.000000
LAT_V004,28.284271,0.000000,-28.284271,40.000000
LAT_V005,0.000000,28.284271,-28.284271,40.000000
LAT_V006,-28.284271,-28.284271,0.000000,40.000000
LAT_V007,28.284271,-28.284271,0.000000,40.000000
LAT_V008,-28.284271,28.284271,0.000000,40.000000
LAT_V009,28.284271,28.284271,0.000000,40.000000
LAT_V010,0.000000,-28.284271,28.284271,40.000000
LAT_V011,-28.284271,0.000000,28.284271,40.000000
LAT_V012,28.284271,0.000000,28.284271,40.000000
LAT_V013,0.000000,28.284271,28.284271,40.000000
