diameter_mm,ctc_mm,scale,volume_cc,equivalent_diameter_mm,phase_id,vertex_count,min_spacing_mm,spacing_error_mm,min_extra_clearance_mm,analytic_sphere_volume_cc,status
10.0,20.0,0.75,261.403,79.330,0,17,20.000000,-0.000000,1.931763,0.523599,PASS
10.0,20.0,0.75,261.403,79.330,1,17,20.000000,-0.000000,1.249695,0.523599,PASS
10.0,20.0,0.75,261.403,79.330,2,15,20.000000,-0.000000,0.692749,0.523599,PASS
10.0,20.0,0.75,261.403,79.330,3,17,20.000000,-0.000000,1.039124,0.523599,PASS
10.0,20.0,0.75,261.403,79.330,4,18,20.000000,-0.000000,0.590515,0.523599,PASS
10.0,20.0,0.95,531.249,100.485,0,43,20.000000,-0.000000,0.477356,0.523599,PASS
10.0,20.0,0.95,531.249,100.485,1,40,20.000000,-0.000000,0.880188,0.523599,PASS
10.0,20.0,0.95,531.249,100.485,2,42,20.000000,-0.000000,0.775452,0.523599,PASS
10.0,20.0,0.95,531.249,100.485,3,45,20.000000,-0.000000,0.529724,0.523599,PASS
10.0,20.0,0.95,531.249,100.485,4,42,20.000000,-0.000000,0.733154,0.523599,PASS
10.0,20.0,1.15,942.369,121.639,0,87,20.000000,-0.000000,1.096069,0.523599,PASS
10.0,20.0,1.15,942.369,121.639,1,88,20.000000,-0.000000,0.888367,0.523599,PASS
10.0,20.0,1.15,942.369,121.639,2,88,20.000000,-0.000000,0.585571,0.523599,PASS
10.0,20.0,1.15,942.369,121.639,3,84,20.000000,-0.000000,1.005981,0.523599,PASS
10.0,20.0,1.15,942.369,121.639,4,94,20.000000,-0.000000,0.610596,0.523599,PASS
10.0,20.0,1.35,1524.505,142.794,0,161,20.000000,-0.000000,0.666931,0.523599,PASS
10.0,20.0,1.35,1524.505,142.794,1,158,20.000000,-0.000000,0.460571,0.523599,PASS
10.0,20.0,1.35,1524.505,142.794,2,163,20.000000,-0.000000,0.610107,0.523599,PASS
10.0,20.0,1.35,1524.505,142.794,3,161,20.000000,-0.000000,0.520386,0.523599,PASS
10.0,20.0,1.35,1524.505,142.794,4,162,20.000000,-0.000000,0.640015,0.523599,PASS
10.0,20.0,1.60,2537.976,169.237,0,285,20.000000,-0.000000,0.586975,0.523599,PASS
10.0,20.0,1.60,2537.976,169.237,1,292,20.000000,-0.000000,0.496948,0.523599,PASS
10.0,20.0,1.60,2537.976,169.237,2,284,20.000000,-0.000000,0.547363,0.523599,PASS
10.0,20.0,1.60,2537.976,169.237,3,292,20.000000,-0.000000,0.608582,0.523599,PASS
10.0,20.0,1.60,2537.976,169.237,4,286,20.000000,-0.000000,0.511353,0.523599,PASS
10.0,25.0,0.75,261.403,79.330,0,9,25.000000,-0.000000,0.642395,0.523599,PASS
10.0,25.0,0.75,261.403,79.330,1,9,25.000000,-0.000000,1.519775,0.523599,PASS
10.0,25.0,0.75,261.403,79.330,2,11,25.000000,-0.000000,0.508118,0.523599,PASS
10.0,25.0,0.75,261.403,79.330,3,9,25.000000,-0.000000,0.570679,0.523599,PASS
10.0,25.0,0.75,261.403,79.330,4,8,25.000000,-0.000000,1.205444,0.523599,PASS
10.0,25.0,0.95,531.249,100.485,0,20,25.000000,-0.000000,1.641541,0.523599,PASS
10.0,25.0,0.95,531.249,100.485,1,19,25.000000,-0.000000,1.562988,0.523599,PASS
10.0,25.0,0.95,531.249,100.485,2,21,25.000000,-0.000000,0.847961,0.523599,PASS
10.0,25.0,0.95,531.249,100.485,3,20,25.000000,-0.000000,1.619385,0.523599,PASS
10.0,25.0,0.95,531.249,100.485,4,22,25.000000,-0.000000,0.884216,0.523599,PASS
10.0,25.0,1.15,942.369,121.639,0,46,25.000000,-0.000000,0.690674,0.523599,PASS
10.0,25.0,1.15,942.369,121.639,1,45,25.000000,-0.000000,0.548035,0.523599,PASS
10.0,25.0,1.15,942.369,121.639,2,47,25.000000,-0.000000,0.610596,0.523599,PASS
10.0,25.0,1.15,942.369,121.639,3,46,25.000000,-0.000000,1.373840,0.523599,PASS
10.0,25.0,1.15,942.369,121.639,4,45,25.000000,-0.000000,0.688171,0.523599,PASS
10.0,25.0,1.35,1524.505,142.794,0,79,25.000000,-0.000000,0.849365,0.523599,PASS
10.0,25.0,1.35,1524.505,142.794,1,82,25.000000,-0.000000,0.526367,0.523599,PASS
10.0,25.0,1.35,1524.505,142.794,2,80,25.000000,-0.000000,0.693848,0.523599,PASS
10.0,25.0,1.35,1524.505,142.794,3,79,25.000000,-0.000000,0.888245,0.523599,PASS
10.0,25.0,1.35,1524.505,142.794,4,85,25.000000,-0.000000,0.601135,0.523599,PASS
10.0,25.0,1.60,2537.976,169.237,0,149,25.000000,-0.000000,0.713013,0.523599,PASS
10.0,25.0,1.60,2537.976,169.237,1,151,25.000000,-0.000000,0.781433,0.523599,PASS
10.0,25.0,1.60,2537.976,169.237,2,150,25.000000,-0.000000,0.536560,0.523599,PASS
10.0,25.0,1.60,2537.976,169.237,3,151,25.000000,-0.000000,0.680603,0.523599,PASS
10.0,25.0,1.60,2537.976,169.237,4,150,25.000000,-0.000000,0.749023,0.523599,PASS
